date,sector,close,daily_return_pct
2026-06-29,油電燃氣,80.36,2.84
2026-06-29,玻璃陶瓷,159.24,3.03
2026-06-29,生技醫療,91.44,5.58
2026-06-29,紡織纖維,489.85,1.86
2026-06-29,綠能環保,136.8,0.7
2026-06-29,航運,182.21,1.38
2026-06-29,觀光餐旅,103.29,0.2
2026-06-29,貿易百貨,236.51,0.51
2026-06-29,資訊服務,199.77,0.59
2026-06-29,通信網路,246.95,-1.02
2026-06-29,造紙,270.42,1.14
2026-06-29,運動休閒,58.57,0.41
2026-06-29,金融保險,3121.88,-0.92
2026-06-29,鋼鐵,116.71,0.4
2026-06-29,電器電纜,104.49,0.87
2026-06-29,電子通路,367.62,-0.43
2026-06-29,電子零組件,954.85,1.85
2026-06-29,電機機械,551.2,1.89
2026-06-29,電腦及週邊設備,389.39,2.32
2026-06-29,食品,1939.8,1.01
2026-06-30,光電,72.33,2.19
2026-06-30,其他,277.28,0.83
2026-06-30,其他電子,280.83,1.88
2026-06-30,化學,203.97,1.5
2026-06-30,化學生技醫療,168.51,2.16
2026-06-30,半導體,1571.57,2.59
2026-06-30,塑膠,294.46,6.33
2026-06-30,居家生活,95.97,-0.21
2026-06-30,建材營造,457.77,0.54
2026-06-30,數位雲端,45.44,-0.53
2026-06-30,橡膠,184.58,-0.49
2026-06-30,水泥,121.68,-0.6
2026-06-30,汽車,289.71,-0.21
2026-06-30,油電燃氣,80.05,-0.39
2026-06-30,玻璃陶瓷,174.38,9.51
2026-06-30,生技醫療,93.69,2.46
2026-06-30,紡織纖維,485.07,-0.98
2026-06-30,綠能環保,139.25,1.79
2026-06-30,航運,185.19,1.64
2026-06-30,觀光餐旅,103.12,-0.16
2026-06-30,貿易百貨,235.01,-0.63
2026-06-30,資訊服務,204.78,2.51
2026-06-30,通信網路,253.4,2.61
2026-06-30,造紙,269.4,-0.38
2026-06-30,運動休閒,58.29,-0.48
2026-06-30,金融保險,3119.05,-0.09
2026-06-30,鋼鐵,116.0,-0.61
2026-06-30,電器電纜,108.42,3.76
2026-06-30,電子通路,374.21,1.79
2026-06-30,電子零組件,999.74,4.7
2026-06-30,電機機械,557.46,1.14
2026-06-30,電腦及週邊設備,401.86,3.2
2026-06-30,食品,1923.25,-0.85
2026-07-01,光電,71.05,-1.77
2026-07-01,其他,275.68,-0.58
2026-07-01,其他電子,282.05,0.43
2026-07-01,化學,202.46,-0.74
2026-07-01,化學生技醫療,168.32,-0.11
2026-07-01,半導體,1622.05,3.21
2026-07-01,塑膠,313.46,6.45
2026-07-01,居家生活,98.13,2.25
2026-07-01,建材營造,458.71,0.21
2026-07-01,數位雲端,43.47,-4.34
2026-07-01,橡膠,185.01,0.23
2026-07-01,水泥,119.02,-2.19
2026-07-01,汽車,291.69,0.68
2026-07-01,油電燃氣,78.08,-2.46
2026-07-01,玻璃陶瓷,166.53,-4.5
2026-07-01,生技醫療,93.86,0.18
2026-07-01,紡織纖維,485.95,0.18
2026-07-01,綠能環保,141.16,1.37
