date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2024-07-05,75.3,86.4,81.3,68.6,65.1,1.9397,18.6927
2024-07-08,70.8,84.0,77.5,68.3,53.4,2.0938,18.6927
2024-07-09,73.4,84.1,83.3,76.5,49.7,2.0938,18.6927
2024-07-10,76.6,84.2,80.6,76.7,64.8,2.5429,18.6927
2024-07-11,77.3,80.5,80.8,76.7,71.2,4.0654,18.6927
2024-07-12,62.9,83.9,71.2,75.5,21.1,4.7005,17.3619
2024-07-15,72.3,84.5,79.3,75.9,49.6,7.2519,17.3619
2024-07-16,77.5,84.2,79.5,76.7,69.6,7.2519,17.3619
2024-07-17,65.7,84.0,76.3,67.9,34.6,6.9441,16.5712
2024-07-18,61.0,77.0,70.2,70.9,25.7,5.4673,15.2471
2024-07-19,58.3,73.4,69.6,70.7,19.7,3.2906,13.2957
2024-07-22,69.7,62.5,70.2,72.1,74.1,3.2906,13.2957
2024-07-23,79.8,73.6,75.6,85.5,84.7,3.2906,13.2957
2024-07-26,53.2,57.8,67.7,70.2,17.0,4.4343,12.4159
2024-07-29,70.2,59.4,77.8,71.5,72.0,12.4159,12.4159
2024-07-30,62.7,60.5,78.7,71.4,40,12.4159,12.4159
2024-07-31,64.4,60.0,76.9,71.1,49.5,12.4159,12.4159
2024-08-01,76.1,69.3,77.7,71.8,85.8,12.4159,12.4159
2024-08-02,51.3,49.1,69.2,68.3,18.6,8.352,8.352
2024-08-05,36.1,19.7,54.3,43.6,26.9,1.9966,1.9966
2024-08-06,69.4,33.0,81.4,78.6,84.8,1.9966,1.9966
2024-08-07,70.1,46.7,76.2,84.1,73.2,1.9966,5.9581
2024-08-08,46.1,40.4,59.2,54.2,30.4,0.5996,5.9581
2024-08-09,71.6,49.9,77.2,71.2,88.0,0.5996,5.9581
2024-08-12,67.9,45.3,66.2,73.6,86.6,0.5996,5.9581
2024-08-13,65.8,46.4,72.0,74.4,70.4,0.5996,6.0859
2024-08-14,71.9,49.4,73.1,75.7,89.3,0.8525,6.2334
2024-08-15,60.9,47.3,63.8,74.3,58.4,1.2496,6.2334
2024-08-16,78.6,61.7,76.7,75.9,100.0,1.2496,6.2334
2024-08-19,66.8,63.2,73.5,75.2,55.4,1.2496,6.2334
2024-08-20,72.3,64.5,78.0,75.6,71.3,1.2496,6.2334
2024-08-21,62.9,62.9,74.0,74.6,40,0.4005,5.9885
2024-08-22,64.3,60.2,71.6,71.6,53.7,0.7546,5.9885
2024-08-23,70.5,61.9,78.1,70.6,71.4,0.7546,5.9885
2024-08-26,70.6,63.0,80.2,69.4,69.7,0.7546,5.9885
2024-08-27,63.7,61.9,76.9,67.5,48.3,1.2447,5.9885
2024-08-28,62.4,64.6,67.2,66.8,50.9,5.7124,5.9885
2024-08-29,56.8,61.0,73.2,65.1,28.0,5.2781,5.5554
2024-08-30,70.4,64.3,79.4,64.5,73.2,5.2781,5.5554
2024-09-02,62.8,64.4,77.8,64.4,44.5,5.1376,5.4153
2024-09-03,65.4,64.7,74.5,64.7,57.7,4.6538,4.8035
2024-09-04,45.3,42.1,53.1,68.9,17.0,1.8856,2.7747
2024-09-05,56.5,44.5,79.6,70.7,31.1,1.8856,2.7747
2024-09-06,66.2,46.1,73.2,71.5,74.1,1.8856,2.7747
2024-09-09,52.2,42.0,75.3,66.7,24.8,0.5365,2.7747
2024-09-10,54.9,41.1,79.8,66.3,32.4,0.7837,2.7747
2024-09-11,60.3,40.4,79.0,65.2,56.6,0.7837,2.7747
2024-09-12,74.4,48.4,79.1,70.2,100.0,0.7837,2.7747
2024-09-13,65.1,41.4,76.1,67.9,74.8,0.7837,2.7747
2024-09-16,64.3,50.1,78.5,68.3,60.3,0.7837,2.7747
2024-09-18,55.4,40.7,75.1,65.4,40.6,0.0,2.7747
2024-09-19,75.4,53.4,80.3,68.1,100.0,0.0,2.7747
2024-09-20,71.9,55.4,75.3,72.2,84.6,0.1576,2.7747
2024-09-23,73.0,57.4,73.8,72.7,88,2.7747,2.7747
2024-09-24,71.4,60.5,76.1,72.5,76.5,2.7747,2.7747
2024-09-25,78.7,65.4,77.8,73.1,98.4,2.7747,2.7747
2024-09-26,77.7,66.3,83.3,73.2,88,2.7747,2.7747
