date,close,volume,margin_balance,turnover_value,foreign_net,investment_trust_net,dealer_net,margin_maintenance_pct,margin_top10_concentration_pct,margin_hhi,margin_top3_industry_concentration_pct,short_margin_ratio_pct,high_margin_cap_exposure_pct
2026-02-02,31624.03,11735154321.0,378848321000.0,771419543919.0,-48050347608.0,4953294385.0,-10497749268.0,,,,,,
2026-02-03,32195.36,11518844202.0,382125198000.0,821574120123.0,7267812207.0,10617248361.0,-6891888982.0,,,,,,
2026-02-04,32289.81,10160254873.0,384045976000.0,704644032693.0,12066044162.0,5820723412.0,-1669592243.0,,,,,,
2026-02-05,31801.27,11186277150.0,382917747000.0,715168705076.0,-72694499199.0,3159777411.0,-20876911640.0,,,,,,
2026-02-06,31782.92,10552234186.0,373990690000.0,700313173141.0,-7152994630.0,6763863326.0,-18886144763.0,,,,,,
2026-02-09,32404.62,9406563866.0,375470000000.0,653957736705.0,24768616529.0,895780272.0,10677765292.0,,,,,,
2026-02-10,33072.97,8544963373.0,372586424000.0,678490714672.0,55710830864.0,4665630350.0,2827656480.0,,,,,,
2026-02-11,33605.71,9640426235.0,368046780000.0,699292298413.0,52360064736.0,4093084962.0,1372730210.0,,,,,,
2026-02-23,33773.26,13167078051.0,372155937000.0,949992767170.0,8352180152.0,-1997231922.0,-11472072497.0,,,,,,
2026-02-24,34700.82,13165035947.0,377495245000.0,861808912768.0,62733556548.0,6159076294.0,15348667147.0,,,,,,
2026-02-25,35413.07,15806158578.0,383127012000.0,1020570870136.0,41148172059.0,5120184290.0,-3830386664.0,,,,,,
2026-02-26,35414.49,15667310561.0,389861168000.0,1207836722507.0,-10563922762.0,-1058302674.0,-1798563098.0,,,,,,
2026-03-02,35095.09,14965963786.0,391622964000.0,1014040137978.0,-38988677076.0,8321507628.0,-12547078537.0,,,,,,
2026-03-03,34323.65,16527604581.0,384358166000.0,1113233319063.0,-94708130956.0,3922050289.0,-24716371584.0,,,,,,
2026-03-04,32828.88,17027132902.0,376616380000.0,1099338575770.0,-96615044471.0,6764037949.0,-40002593641.0,,,,,,
2026-03-05,33672.94,11784121914.0,379166593000.0,793545602327.0,-51495123598.0,14467455481.0,-8774506022.0,,,,,,
2026-03-06,33599.54,10206581156.0,382683605000.0,655472934511.0,-35236485371.0,7123296274.0,-748120460.0,,,,,,
2026-03-09,32110.42,14457276951.0,371960474000.0,868304737884.0,-120817164664.0,13571184696.0,-58638707129.0,,,,,,
2026-03-10,32771.87,11467681132.0,368236339000.0,728225719000.0,-25085977065.0,13059184019.0,-3466374656.0,,,,,,
2026-03-11,34114.19,10994809421.0,376148010000.0,693435834178.0,37180947646.0,4054142287.0,10774365760.0,,,,,,
2026-03-12,33581.86,12188897294.0,379366977000.0,784007384475.0,-71127587063.0,-751989349.0,-9197027060.0,,,,,,
2026-03-13,33400.32,11310370787.0,385446747000.0,752682671944.0,-58017304543.0,-43705864.0,-9281221622.0,,,,,,
2026-03-16,33342.51,11002126725.0,392284076000.0,755420348265.0,-43825438238.0,324836504.0,-3429648744.0,,,,,,
2026-03-17,33836.57,11052069276.0,393467031000.0,846176534881.0,472382101.0,205793712.0,9095273960.0,,,,,,
2026-03-18,34348.58,11967644458.0,399772079000.0,924101194833.0,9020754435.0,-288069117.0,9963133604.0,,,,,,
2026-03-19,33689.68,11805573077.0,402095986000.0,893918756213.0,-90947630537.0,-346138360.0,-11133581065.0,,,,,,
2026-03-20,33543.88,12643136708.0,398591129000.0,1004234872968.0,-40311039107.0,1057706848.0,-10104918151.0,,,,,,
2026-03-23,32722.5,11584224639.0,393333803000.0,712578117331.0,-83922601792.0,10534823636.0,-31111668742.0,,,,,,
2026-03-24,32612.24,9933946735.0,390102627000.0,690091065536.0,-12305739413.0,2379609569.0,-10484581290.0,,,,,,
2026-03-25,33439.11,8730340717.0,395499028000.0,652340765184.0,37474763788.0,1158480690.0,13142380223.0,,,,,,
2026-03-26,33337.62,9461269146.0,391136615000.0,766599119592.0,-7920352703.0,4743193007.0,3294779493.0,,,,,,
2026-03-27,33112.59,9442000840.0,393722769000.0,658273529008.0,-36355548400.0,-188001279.0,-1795380199.0,,,,,,
2026-03-30,32518.16,9871214148.0,392708646000.0,678152191949.0,-63936723763.0,3206518834.0,-13398676874.0,,,,,,
2026-03-31,31722.99,12232062739.0,381724855000.0,882453969577.0,-80745514607.0,3203576857.0,-21016682536.0,,,,,,
2026-04-01,33174.82,9341757628.0,384907899000.0,652608970719.0,23251318053.0,10138534820.0,21619633328.0,,,,,,
2026-04-02,32572.43,10200475573.0,385200709000.0,702608705100.0,-38695561840.0,8424381929.0,-6988539906.0,,,,,,
2026-04-07,33229.82,8303716897.0,387735006000.0,584692254383.0,10096606744.0,4356643821.0,7032785481.0,,,,,,
2026-04-08,34761.38,12873431242.0,394820817000.0,894100450046.0,117772619736.0,4720132160.0,35867997248.0,,,,,,
2026-04-09,34861.16,11946350818.0,396518145000.0,872275954561.0,31779629982.0,1356987590.0,6195953627.0,,,,,,
2026-04-10,35417.83,12583637569.0,401240705000.0,871808149506.0,28808271208.0,-4301105584.0,12258155838.0,,,,,,
2026-04-13,35457.29,10803404429.0,408651307000.0,805701457540.0,-16178656824.0,6049522946.0,3988528747.0,,,,,,
2026-04-14,36296.12,13673749935.0,414955067000.0,1017277556839.0,68907903398.0,-5997892900.0,5520697751.0,,,,,,
2026-04-15,36722.14,13942183786.0,416253785000.0,1025905609552.0,55350193810.0,-8893858129.0,-5031206313.0,,,,,,
2026-04-16,37132.02,13029813066.0,422408757000.0,927314900440.0,44007512110.0,-2741888881.0,11845452957.0,,,,,,
2026-04-17,36804.34,13629149036.0,427120349000.0,985525733386.0,-2039543335.0,-8402959512.0,-3564853588.0,,,,,,
2026-04-20,36958.8,13563808775.0,429830661000.0,960963966853.0,4346379017.0,-2031088234.0,-4842483699.0,,,,,,
2026-04-21,37605.11,13267924991.0,433163894000.0,1021704705351.0,60153727909.0,8059253703.0,-713385552.0,,,,,,
2026-04-22,37878.47,13042520832.0,438545241000.0,979876044142.0,11609397320.0,3713321157.0,738013793.0,,,,,,
2026-04-23,37714.15,18953441032.0,430827021000.0,1460103003620.0,-2754993997.0,1356182124.0,-19190453441.0,,,,,,
2026-04-24,38932.4,12886151833.0,440907083000.0,1081153827550.0,43907871828.0,2217080841.0,8878366186.0,,,,,,
2026-04-27,39616.63,14212315987.0,452044394000.0,1248027623513.0,-51196158919.0,14501538803.0,-10542927790.0,,,,,,
2026-04-28,39521.73,10641033425.0,457109757000.0,1057488155712.0,-39298034950.0,5641669506.0,351644222.0,,,,,,
2026-04-29,39303.5,10197192638.0,460963803000.0,915272695535.0,-48147448725.0,2128326015.0,-1599118631.0,,,,,,
2026-04-30,38926.63,11446952929.0,460904578000.0,1074901891496.0,-53561725108.0,1083212776.0,-788869584.0,,,,,,
2026-05-04,40705.14,12395796663.0,470393584000.0,1051315643566.0,66975700753.0,2028457546.0,8940601136.0,,,,,,
2026-05-05,40769.29,12853494887.0,475145292000.0,1049334722789.0,3990267133.0,3726924984.0,-10087243816.0,,,,,,
2026-05-06,41138.85,16678201403.0,475648471000.0,1524012557672.0,75104907794.0,1521231925.0,-9610610632.0,,,,,,
2026-05-07,41933.78,15231110299.0,482664170000.0,1246902674041.0,46411526570.0,15052328712.0,-4142266447.0,,,,,,
2026-05-08,41603.94,15497124214.0,477184758000.0,1305390328230.0,-12084537571.0,1957298675.0,-10036729717.0,,,,,,
2026-05-11,41790.06,13141091504.0,484592746000.0,1170487539244.0,-10983504002.0,12488284112.0,3730314797.0,,,,,,
2026-05-12,41898.32,19487297206.0,491194951000.0,1446228503722.0,-30493779941.0,38317065036.0,-20663582188.0,,,,,,
2026-05-13,41374.5,18632210693.0,494418035000.0,1265792083975.0,-43429473975.0,26061631805.0,-30266247259.0,,,,,,
2026-05-14,41751.75,14422244219.0,499134844000.0,1275384785248.0,4542624703.0,14296112792.0,-1262729720.0,,,,,,
2026-05-15,41172.36,17355987461.0,492797137000.0,1374865492241.0,-10426586381.0,-1367237707.0,-24943483026.0,,,,,,
2026-05-18,40891.82,13753749982.0,501619604000.0,1042046645948.0,-45240962622.0,16664751995.0,-13926385802.0,,,,,,
2026-05-19,40175.56,13603142233.0,496887083000.0,1151219413754.0,-63234953627.0,8166572955.0,-22351525432.0,,,,,,
2026-05-20,40020.82,11825319302.0,502079185000.0,1027552700623.0,-46620615982.0,10208758587.0,-19569931578.0,,,,,,
2026-05-21,41368.21,12662318814.0,511154475000.0,1047623792398.0,60340682960.0,5380299112.0,19596093032.0,,,,,,
2026-05-22,42267.97,14518650616.0,522289307000.0,1236888820897.0,76136532653.0,11225786560.0,19476325868.0,,,,,,
2026-05-25,43644.4,16726165336.0,530476074000.0,1352710348031.0,49459164170.0,8414059954.0,6887667131.0,,,,,,
2026-05-26,43525.37,17964690191.0,534592623000.0,1549710749032.0,35436395452.0,5382159791.0,4909963972.0,,,,,,
2026-05-27,44256.8,18565348678.0,536269185000.0,1630077580758.0,38127903304.0,-4219051039.0,-3130647620.0,,,,,,
2026-05-28,43636.44,19686100251.0,535029538000.0,1670718874089.0,-38136681812.0,-6206044668.0,-15038347857.0,,,,,,
2026-05-29,44732.94,19561019045.0,556359646000.0,1916952445914.0,80145461140.0,7018067618.0,15607209549.0,,,,,,
2026-06-01,45337.91,17539429740.0,565779103000.0,1611133989740.0,36817371952.0,7758630147.0,-6508599147.0,,,,,,
2026-06-02,45557.31,19264949123.0,566970793000.0,1696398095158.0,10842948180.0,2820321473.0,-15768188108.0,,,,,,
2026-06-03,46459.16,18516900056.0,568395323000.0,1517535663789.0,43396335647.0,5551570132.0,2596766242.0,,,,,,
2026-06-04,45677.46,16812445952.0,572635940000.0,1325597743625.0,-75685430944.0,4169222789.0,-21366533747.0,,,,,,
2026-06-05,45070.94,16019783711.0,566649267000.0,1319821926499.0,-82631158863.0,1620186439.0,-28430714775.0,,,,,,
2026-06-08,43502.78,14641525700.0,551012201000.0,1216574603939.0,-93851546891.0,8775725700.0,-49146842947.0,,,,,,
2026-06-09,44704.44,14106451926.0,563876896000.0,1224062987846.0,-91733415946.0,23283537434.0,-6691674226.0,,,,,,
2026-06-10,43225.54,15773244263.0,546811625000.0,1424069567256.0,-93573711945.0,16696218878.0,-40551493313.0,,,,,,
2026-06-11,43149.46,14433302867.0,549176982000.0,1338516691099.0,-35779281338.0,13244775137.0,-12400160730.0,,,,,,
2026-06-12,44169.04,12336471343.0,557027949000.0,1169186958350.0,28690268352.0,14233248854.0,8942532337.0,,,,,,
2026-06-15,45396.99,12695045659.0,571907094000.0,1115744351199.0,46531920437.0,6443965719.0,12523717107.0,,,,,,
2026-06-16,45809.19,12388176269.0,571307649000.0,1262185518120.0,40798197749.0,11823660943.0,6088769903.0,,,,,,
2026-06-17,45877.39,12227191968.0,583911936000.0,1154595951473.0,-20683737771.0,-206062001.0,-4268862356.0,,,,,,
2026-06-18,46465.2,16336544104.0,593046547000.0,1606195402305.0,21146738929.0,-5356809071.0,15488273119.0,,,,,,
2026-06-22,47741.51,15727229822.0,605041591000.0,1515817959773.0,68457583377.0,-10517908392.0,12103769330.0,,,,,,
2026-06-23,47100.65,16666417405.0,593929137000.0,1672355337665.0,-38592352641.0,7235957802.0,-16984151224.0,,,,,,
2026-06-24,46043.6,16786237802.0,607456271000.0,1539046268153.0,-177403206868.0,3299888081.0,-36486399618.0,,,,,,
2026-06-25,46255.26,13456150105.0,611000560000.0,1368076901597.0,-40510043503.0,17416589807.0,-7001006444.0,,,,,,
2026-06-26,44571.76,16709688079.0,590925882000.0,1672832488417.0,-143189215451.0,10103297351.0,-70733812660.0,,,,,,
2026-06-29,44999.9,11210546174.0,594229687000.0,1045439448015.0,-4336207557.0,14519080129.0,-4592887685.0,,,,,,
2026-06-30,46125.91,13140347237.0,611652207000.0,1266062228020.0,-508728992.0,365126892.0,14585072281.0,,,,,,
2026-07-01,47018.99,14683404939.0,609502407000.0,1367817795171.0,32375599806.0,15602734212.0,5938476317.0,,,,,,
2026-07-02,46744.16,11740053658.0,620837289000.0,1083583417368.0,-89046513677.0,9955637650.0,-4328242082.0,,,,,,
2026-07-03,46780.62,12189040098.0,630812485000.0,1078028137102.0,-77782612615.0,7502170019.0,-3259588256.0,,,,,,
2026-07-06,46556.39,12910602003.0,631344856000.0,1064431906064.0,-25504496320.0,7163451017.0,-9721009272.0,,,,,,
2026-07-07,45479.11,15447467314.0,610945256000.0,1228119421876.0,-54731070648.0,9682759752.0,-48733477692.0,,,,,,
2026-07-08,45734.41,11331191739.0,613815725000.0,1004560446696.0,-37948987989.0,12680292684.0,-16942740236.0,,,,,,
2026-07-09,45354.61,10483502597.0,619648244000.0,996789429935.0,-47252816429.0,19900600663.0,-7671165811.0,,,,,,
2026-07-13,45380.52,11168410368.0,618299040000.0,1067662107060.0,-19559763888.0,12578555606.0,-11098303301.0,,,,,,
2026-07-14,44737.95,15548656718.0,604034106000.0,1245206538568.0,-51892812507.0,11001561256.0,-38291146262.0,,,,,,
2026-07-15,45631.59,10421924556.0,615368175000.0,1024385500649.0,-1415388772.0,12536287746.0,10126103647.0,,,,,,
2026-07-16,45624.98,10374680186.0,615575992000.0,933180942503.0,-48334970779.0,8645131851.0,-3357605729.0,,,,,,
2026-07-17,42671.27,18244071063.0,587962513000.0,1333156652944.0,-188314549057.0,7347365087.0,-82179494166.0,,,,,,
2026-07-20,42449.7,12566601514.0,569035788000.0,1041457434398.0,-6083677676.0,16321796929.0,-8064443489.0,,,,,,
2026-07-21,44232.87,10050212116.0,576496237000.0,866251695004.0,-4331862847.0,17113931143.0,3507395188.0,175.4452,31.5083,157.0129,68.2897,2.2717,3.8706
2026-07-22,44825.78,11296458003.0,582823505000.0,1025958396323.0,17343992601.0,18902892146.0,-2397995157.0,,,,,,
2026-07-23,44850.81,9701104103.0,582626351000.0,930612067733.0,6957913275.0,7370034536.0,4193904768.0,,,,,,
2026-07-24,43654.84,9573393565.0,577059537000.0,827129512226.0,-60950489295.0,4763491262.0,-11151495033.0,173.0826,31.3263,155.8686,68.5437,2.1888,4.0278
2026-07-27,43634.19,8980078815.0,568663454000.0,747647200740.0,8040249858.0,481268077.0,-7856984424.0,173.4553,31.5805,159.2751,68.6577,2.0086,4.0001
2026-07-28,41603.36,12544360257.0,545534811000.0,872574999972.0,-87484625299.0,1611819893.0,-31729733512.0,163.077,31.3419,162.371,67.8839,2.4105,3.4155
2026-07-29,40039.18,17045019383.0,507011173000.0,1149185294964.0,-22251858551.0,5705652231.0,-18599014431.0,157.9949,30.7784,163.8947,67.0672,2.4813,2.9243
2026-07-30,39933.3,13692579233.0,493867294000.0,1146937829185.0,-48311819675.0,13997412733.0,-15226533793.0,156.7401,31.2195,170.5865,67.1866,2.3469,1.2849
2026-07-31,43119.75,13813496579.0,507462771000.0,887732405136.0,67553825161.0,36020110243.0,-16259524590.0,,,,,,
2026-08-03,43386.41,11427047935.0,514755393000.0,885506043091.0,-19190915634.0,23324680573.0,-20653372342.0,176.5541,31.5627,166.0093,68.7661,2.0319,1.2502
2026-08-04,43360.66,11340636777.0,521134665000.0,1087045875836.0,-5731532826.0,27165160060.0,-19428736709.0,181.6924,31.4951,163.7376,68.9034,2.1808,1.9605
2026-08-05,44611.6,13207451811.0,523492321000.0,1200212510521.0,90308325824.0,11266142456.0,1456667142.0,186.7345,31.7218,160.6171,68.7488,2.2157,2.4042
2026-08-06,44396.7,10650583944.0,532804981000.0,974054973424.0,2019818140.0,9408386624.0,-6312818587.0,,,,,,
2026-08-07,44225.91,9376069669.0,537664510000.0,850815189087.0,-40715743790.0,-1201721402.0,-968071874.0,184.8075,31.349,157.6893,68.7874,2.1448,2.5019
2026-08-10,44928.76,10238975923.0,545295561000.0,880440723750.0,51740515132.0,3401069421.0,18468154345.0,189.8185,31.2291,156.2523,68.8418,2.2507,2.6061
2026-08-11,45120.72,9740372114.0,544151977000.0,902052207533.0,22328683295.0,3224067733.0,2460139602.0,190.4666,31.3692,154.2418,69.2164,2.2832,2.457
2026-08-12,45518.07,9972596202.0,548083912000.0,892659784922.0,11020811994.0,2276272699.0,8700668735.0,192.6657,31.0563,151.5051,69.3557,2.2536,1.7442
